,Off Rank,college,Games,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Penalty Yards,Penalty Yards Per Game,Time of Possession,Turnover Rank
0,1,LSU (SEC),13,841,7065,8.4,78,543.5,105,882,5416,47,47,416.6,672,51.69,375:09:00,23
1,2,Oregon (Pac-12),14,951,7440,7.82,82,531.4,22,893,4458,26,27,318.4,848,60.57,434:35:00,9
2,3,Oklahoma (Big 12),13,974,6591,6.77,66,507,77,935,5062,32,35,389.4,760,58.46,377:47:00,23
3,4,Liberty (CUSA),14,973,6988,7.18,71,499.1,58,911,5217,44,45,372.6,875,62.5,463:00:00,21
4,5,Georgia (SEC),14,958,6951,7.26,69,496.5,9,848,4047,26,26,289.1,606,43.29,468:38:00,43
5,6,North Texas (AAC),12,911,5950,6.53,52,495.8,130,872,5717,59,60,476.4,559,46.58,350:24:00,101
6,7,North Carolina (ACC),13,958,6386,6.67,54,491.2,94,935,5257,41,43,404.4,862,66.31,371:57:00,30
7,8,UCF (Big 12),13,895,6331,7.07,52,487,81,882,5083,38,40,391,651,50.08,375:25:00,78
8,9,Texas (Big 12),14,1002,6685,6.67,54,477.5,34,900,4714,30,30,336.7,731,52.21,437:04:00,29
9,10,Southern California (Pac-12),13,823,6079,7.39,70,467.6,116,923,5627,56,59,432.8,889,68.38,359:38:00,72
10,11,TCU (Big 12),12,909,5600,6.16,46,466.7,100,867,4900,37,39,408.3,643,53.58,328:03:00,117
11,12,Washington (Pac-12),15,985,6931,7.04,66,462.1,96,1057,6101,48,48,406.7,1029,68.6,452:00:00,66
12,13,Ole Miss (SEC),13,929,6005,6.46,55,461.9,68,910,4969,36,37,382.2,768,59.08,360:32:00,5
13,14,Memphis (AAC),13,910,5960,6.55,64,458.5,111,879,5502,46,48,423.2,536,41.23,404:49:00,30
14,15,Texas St. (Sun Belt),13,958,5949,6.21,57,457.6,91,906,5169,50,56,397.6,900,69.23,379:25:00,72
15,16,SMU (AAC),14,1020,6360,6.24,62,454.3,12,927,4258,31,32,304.1,577,41.21,421:22:00,43
16,17,South Fla. (AAC),13,1028,5871,5.71,50,451.6,115,926,5622,55,57,432.5,852,65.54,371:27:00,38
17,18,UAB (AAC),12,853,5400,6.33,46,450,118,846,5220,55,57,435,675,56.25,350:04:00,54
18,19,Tennessee (SEC),13,899,5825,6.48,45,448.1,32,877,4357,28,30,335.2,883,67.92,319:36:00,23
19,20,Arizona (Pac-12),13,862,5824,6.76,53,448,48,855,4653,34,34,357.9,689,53,397:38:00,30
20,21,Kansas (Big 12),13,810,5799,7.16,56,446.1,62,854,4917,42,42,378.2,740,56.92,398:30:00,61
